name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2014-03-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-03-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-03-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-03-30,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-04-06,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-04-13,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-04-20,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-04-27,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-05-04,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-05-11,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-05-18,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-05-25,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-06-01,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-06-08,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-06-15,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-06-22,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-06-29,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-07-06,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-07-13,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-07-20,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-07-27,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-08-03,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-08-10,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-08-17,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-08-24,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-08-31,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-09-07,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-09-14,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-09-21,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-09-28,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-10-05,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-10-12,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-10-19,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-10-26,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-11-02,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-11-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-11-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-11-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-11-30,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-12-07,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-12-14,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-12-21,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-12-28,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-01-04,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-01-11,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-01-18,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-01-25,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-02-01,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-02-08,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-02-15,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-02-22,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-03-01,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-03-08,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-03-15,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-03-22,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-03-29,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-04-05,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-04-12,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-04-19,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-04-26,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2015-05-03,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-05-10,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-05-17,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-05-24,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-05-31,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-06-07,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-06-14,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-06-21,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-06-28,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-07-05,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-07-12,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-07-19,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-07-26,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-08-02,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-08-09,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-08-16,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-08-23,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-08-30,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-09-06,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-09-13,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-09-20,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-09-27,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-10-04,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-10-11,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
